Gift1,100,89,2
Gift2,43,22,1
Gift3,33,25,1
Gift4,62,99,2
Gift5,35,28,1
Gift6,57,42,1
Gift7,53,92,1
Gift8,50,81,2
Gift9,71,8,3
Gift10,65,99,2
Gift11,27,40,3
Gift12,60,67,2
Gift13,90,87,1
Gift14,36,30,3
Gift15,62,4,3
Gift16,86,26,1
Gift17,4,82,3
Gift18,36,4,3
Gift19,34,61,1
Gift20,52,79,2
Gift21,70,14,2
Gift22,98,22,3
Gift23,85,8,3
Gift24,39,70,2
Gift25,8,98,1
Gift26,64,24,3
Gift27,8,48,1
Gift28,48,20,2
Gift29,11,92,1
Gift30,88,69,2
Gift31,86,61,2
Gift32,34,17,1
Gift33,46,66,3
Gift34,28,23,2
Gift35,92,56,1
Gift36,35,69,1
Gift37,80,48,3
Gift38,90,50,1
Gift39,45,37,2
Gift40,13,87,3
Gift41,43,27,3
Gift42,55,83,2
Gift43,58,2,2
Gift44,43,56,2
Gift45,52,9,2
Gift46,54,67,1
Gift47,82,7,1
Gift48,30,43,2
Gift49,14,50,3
Gift50,96,27,1
