Gift1,94,86,3
Gift2,6,34,3
Gift3,4,45,3
Gift4,63,48,3
Gift5,76,78,2
Gift6,34,46,1
Gift7,21,41,3
Gift8,38,34,1
Gift9,52,16,2
Gift10,50,67,1
Gift11,15,47,3
Gift12,94,49,1
Gift13,65,15,2
Gift14,66,73,3
Gift15,24,15,3
Gift16,29,74,3
Gift17,53,52,3
Gift18,44,29,2
Gift19,33,67,2
Gift20,30,4,3
Gift21,68,45,3
Gift22,76,94,1
Gift23,25,62,2
Gift24,12,31,3
Gift25,31,93,1
Gift26,81,70,3
Gift27,44,55,3
Gift28,35,34,3
Gift29,96,80,3
Gift30,34,100,1
Gift31,27,87,3
Gift32,4,80,2
Gift33,39,17,3
Gift34,30,81,1
Gift35,5,100,2
Gift36,94,61,1
Gift37,10,6,1
Gift38,78,8,2
Gift39,12,36,3
Gift40,32,82,2
Gift41,1,59,1
Gift42,53,51,2
Gift43,10,77,3
Gift44,38,67,1
Gift45,16,32,3
Gift46,91,52,2
Gift47,3,88,2
Gift48,22,4,1
Gift49,79,73,2
Gift50,72,32,2
