Gift1,78,47,2
Gift2,17,53,3
Gift3,44,69,3
Gift4,62,74,1
Gift5,6,82,1
Gift6,79,89,1
Gift7,77,95,3
Gift8,40,26,3
Gift9,25,98,2
Gift10,63,31,3
Gift11,67,95,2
Gift12,98,8,1
Gift13,54,8,1
Gift14,5,34,2
Gift15,86,71,2
Gift16,47,60,2
Gift17,38,68,3
Gift18,1,47,3
Gift19,47,44,2
Gift20,58,20,2
Gift21,54,82,1
Gift22,43,83,3
Gift23,56,19,3
Gift24,74,6,2
Gift25,9,10,1
Gift26,86,24,3
Gift27,51,38,2
Gift28,94,58,1
Gift29,79,18,2
Gift30,73,88,1
Gift31,51,34,1
Gift32,69,24,1
Gift33,93,21,1
Gift34,30,66,2
Gift35,29,67,3
Gift36,85,62,2
Gift37,58,49,2
Gift38,49,31,1
Gift39,13,37,2
Gift40,59,8,2
Gift41,8,53,2
Gift42,98,84,3
Gift43,17,23,3
Gift44,94,8,3
Gift45,41,65,3
Gift46,82,42,3
Gift47,24,58,2
Gift48,47,81,2
Gift49,17,84,3
Gift50,72,68,2
