Gift1,46,22,3
Gift2,42,13,1
Gift3,24,50,1
Gift4,42,68,2
Gift5,63,18,1
Gift6,48,2,2
Gift7,47,49,2
Gift8,34,39,3
Gift9,6,81,2
Gift10,10,72,1
Gift11,37,30,3
Gift12,97,9,2
Gift13,47,72,3
Gift14,40,58,2
Gift15,59,48,3
Gift16,25,18,1
Gift17,69,34,3
Gift18,31,93,3
Gift19,41,40,3
Gift20,32,66,2
Gift21,64,19,1
Gift22,87,42,3
Gift23,100,94,3
Gift24,6,14,1
Gift25,3,17,1
Gift26,69,39,1
Gift27,5,82,1
Gift28,33,34,3
Gift29,14,26,1
Gift30,89,93,2
Gift31,51,2,2
Gift32,13,2,2
Gift33,64,75,2
Gift34,59,21,2
Gift35,83,91,1
Gift36,77,34,2
Gift37,58,49,1
Gift38,4,67,2
Gift39,67,77,1
Gift40,63,60,3
Gift41,26,88,2
Gift42,53,87,1
Gift43,96,4,3
Gift44,76,60,2
Gift45,75,52,2
Gift46,24,32,1
Gift47,21,81,1
Gift48,89,71,3
Gift49,35,16,1
Gift50,26,3,3
