Gift1,24,75,1
Gift2,49,93,1
Gift3,35,82,2
Gift4,42,58,2
Gift5,100,72,2
Gift6,57,13,2
Gift7,17,48,1
Gift8,19,7,1
Gift9,27,25,3
Gift10,4,18,3
Gift11,88,93,1
Gift12,64,48,3
Gift13,93,65,2
Gift14,63,24,3
Gift15,26,36,3
Gift16,52,94,2
Gift17,48,3,2
Gift18,58,69,2
Gift19,98,46,3
Gift20,89,96,3
Gift21,87,66,3
Gift22,1,62,1
Gift23,46,60,2
Gift24,19,73,3
Gift25,75,17,2
Gift26,72,24,1
Gift27,47,93,2
Gift28,49,30,1
Gift29,56,91,3
Gift30,53,97,1
Gift31,48,86,2
Gift32,72,82,2
Gift33,33,72,3
Gift34,16,54,2
Gift35,64,39,3
Gift36,36,97,1
Gift37,54,38,3
Gift38,66,3,2
Gift39,31,92,3
Gift40,38,76,3
Gift41,36,39,2
Gift42,87,86,3
Gift43,31,82,1
Gift44,2,100,3
Gift45,15,62,1
Gift46,86,99,1
Gift47,12,68,3
Gift48,55,32,3
Gift49,80,94,2
Gift50,36,80,1
