Gift1,90,53,3
Gift2,65,26,3
Gift3,78,83,2
Gift4,3,28,2
Gift5,11,6,3
Gift6,43,64,3
Gift7,30,81,3
Gift8,62,62,1
Gift9,21,32,3
Gift10,20,25,3
Gift11,89,30,1
Gift12,17,59,3
Gift13,79,88,2
Gift14,10,40,3
Gift15,43,12,1
Gift16,46,79,1
Gift17,40,39,1
Gift18,41,15,1
Gift19,27,87,3
Gift20,65,73,3
Gift21,51,65,2
Gift22,3,31,3
Gift23,30,69,3
Gift24,52,53,2
Gift25,58,22,3
Gift26,5,42,2
Gift27,1,1,2
Gift28,23,46,3
Gift29,78,52,1
Gift30,69,17,3
Gift31,35,58,1
Gift32,13,28,2
Gift33,53,61,2
Gift34,46,5,1
Gift35,49,63,3
Gift36,62,5,1
Gift37,23,77,1
Gift38,56,23,2
Gift39,31,48,3
Gift40,50,18,2
Gift41,55,4,2
Gift42,98,68,2
Gift43,52,61,2
Gift44,62,90,2
Gift45,25,2,1
Gift46,54,83,1
Gift47,28,58,1
Gift48,74,99,3
Gift49,64,73,2
Gift50,13,69,3
