Boy1,10,3,440,1,1
Boy2,9,3,872,3,2
Boy3,3,8,381,2,2
Boy4,8,5,375,3,1
Boy5,6,5,891,3,2
Boy6,10,1,300,3,2
Boy7,8,3,49,1,1
Boy8,3,7,526,3,2
Boy9,4,1,804,2,1
Boy10,2,10,956,3,1
Boy11,4,3,241,2,2
Boy12,10,2,209,2,3
Boy13,7,3,697,2,3
Boy14,8,6,242,3,1
Boy15,2,5,820,2,2
Boy16,7,6,23,3,3
Boy17,10,10,672,2,1
Boy18,5,10,365,2,2
Boy19,4,5,375,1,2
Boy20,4,2,697,3,2
Boy21,1,5,70,1,3
Boy22,3,3,102,3,3
Boy23,10,7,257,2,3
Boy24,5,9,45,1,2
Boy25,2,3,986,2,2
Boy26,10,2,237,3,1
Boy27,5,2,436,1,3
Boy28,2,5,215,3,2
Boy29,9,6,399,2,3
Boy30,6,8,110,3,2
Boy31,9,3,312,2,3
Boy32,4,5,149,1,2
Boy33,6,10,919,2,3
Boy34,7,1,435,1,1
Boy35,7,1,979,2,2
Boy36,2,3,221,2,2
Boy37,7,10,51,2,2
Boy38,1,6,622,1,1
Boy39,9,4,36,2,2
Boy40,7,4,204,1,2
Boy41,6,8,359,3,3
Boy42,8,3,458,3,3
Boy43,2,1,797,3,1
Boy44,7,2,421,2,1
Boy45,4,9,428,3,1
Boy46,9,6,999,2,3
Boy47,4,10,975,3,3
Boy48,7,8,172,3,2
Boy49,1,9,14,2,3
Boy50,2,2,936,1,2
Boy51,6,10,184,3,3
Boy52,9,2,631,2,3
Boy53,2,5,829,3,1
Boy54,2,10,291,2,2
Boy55,4,9,496,1,2
Boy56,6,3,399,2,3
Boy57,9,8,400,1,3
Boy58,1,5,828,1,2
Boy59,10,7,306,2,1
Boy60,10,1,536,3,3
Boy61,2,9,491,3,1
Boy62,8,8,942,1,1
Boy63,9,4,903,1,1
Boy64,8,2,122,1,3
Boy65,4,6,634,2,1
Boy66,5,10,903,2,2
Boy67,4,7,317,1,2
Boy68,10,3,99,1,2
Boy69,7,10,303,1,3
Boy70,1,2,134,2,2
Boy71,8,4,101,2,2
Boy72,4,2,315,3,1
Boy73,3,8,389,2,1
Boy74,6,6,348,2,3
Boy75,1,3,50,1,2
Boy76,4,1,899,3,3
Boy77,5,7,320,3,2
Boy78,6,7,436,2,3
Boy79,10,10,446,1,1
Boy80,6,4,2,3,2
Boy81,2,5,276,2,3
Boy82,7,6,776,1,1
Boy83,1,2,903,3,1
Boy84,3,1,533,2,1
Boy85,8,3,938,1,2
Boy86,2,6,56,2,2
Boy87,4,9,592,3,2
Boy88,6,7,627,2,3
Boy89,1,2,451,1,2
Boy90,1,9,233,1,1
Boy91,10,9,539,1,2
Boy92,7,9,139,1,2
Boy93,6,1,155,2,2
Boy94,10,1,56,3,1
Boy95,10,8,442,3,3
Boy96,9,3,810,2,2
Boy97,5,3,431,3,2
Boy98,8,8,154,1,2
Boy99,10,3,222,3,2
Boy100,8,3,188,2,2
